c,sigma,sigma_prime,kappa,phat_one,m,identity_relerr,residual
0.382,0.06274860389548988,0.24113628994824968,1.5151039940028772,-6.283185307179588,14.139554283301786,1.832365109138194e-11,9.547918011776346e-14
0.383,0.06299021162292416,0.24208050320444896,1.521036660861147,-6.283185307179585,14.185540181148092,1.8202839280108277e-11,6.938893903907228e-14
0.384,0.06323276760408485,0.2430328189726212,1.5270202373035864,-6.283185307179587,14.231905531894839,1.8089779297212422e-11,1.0080825063596421e-13
0.385,0.06347627998167221,0.24399329470442402,1.53305508430963,-6.283185307179585,14.278670069233344,1.7967731036409097e-11,8.915090887740007e-14
0.386,0.0637207569154853,0.24496194240613034,1.5391412773169089,-6.283185307179585,14.325912688443932,1.784186083091716e-11,7.593925488436071e-14
0.387,0.06396620663239207,0.24593888581090617,1.5452795937638157,-6.283185307179585,14.373565558201687,1.772342546637468e-11,1.4199752484955752e-13
0.388,0.06421263748251177,0.24692421096983674,1.5514705743252941,-6.283185307179587,14.421612745472252,1.7594166407728628e-11,8.071321389024888e-14
0.389,0.06446005784749782,0.2479179210465887,1.5577142388792202,-6.283185307179587,14.470147222614507,1.747090337771908e-11,8.204548151979907e-14
0.39,0.06470847615437053,0.24892012087969997,1.5640112461455702,-6.283185307179588,14.519127802718435,1.7344909468704357e-11,9.43689570931383e-14
0.391,0.06495790095894806,0.2499309240258202,1.5703623096218107,-6.283185307179587,14.568504149604351,1.7219333284824482e-11,8.282263763703668e-14
0.392,0.06520834087087622,0.25095033639067793,1.5767674664147242,-6.283185307179587,14.618368118687414,1.709713956756108e-11,1.2534417948018017e-13
0.393,0.06545980452657965,0.25197843630144795,1.5832272086684722,-6.283185307179583,14.66871537235388,1.6972824835527546e-11,6.983302824892235e-14
