xi,phi_prime,phat
-175.1953125,1.6166694952672127e-08,1.3733025983879392e-10
-175.09765625,1.8357653133268488e-08,1.4209613899786415e-10
-175.0,1.9689644931712858e-08,1.3992539597027662e-10
-174.90234375,2.0080488021354483e-08,1.3105518303043296e-10
-174.8046875,1.9492670607309248e-08,1.1604081581584925e-10
-174.70703125,1.7935960408765203e-08,9.57230783055958e-11
-174.609375,1.5467978520691623e-08,7.11821251831547e-11
-174.51171875,1.2192182594294525e-08,4.3681007066292695e-11
-174.4140625,8.25371774144148e-09,1.4601187724232043e-11
-174.31640625,3.833121484345578e-09,-1.4626135805833938e-11
-174.21875,-8.618587871518963e-10,-4.2590073808385345e-11
-174.12109375,-5.605969795339359e-09,-6.796749080617149e-11
-174.0234375,-1.0167173730643619e-08,-8.958521418653685e-11
-173.92578125,-1.4317859032344603e-08,-1.0647355087477961e-10
-173.828125,-1.7846151613062636e-08,-1.1790925774108454e-10
-173.73046875,-2.056665574522324e-08,-1.234455376475717e-10
-173.6328125,-2.2329992542131728e-08,-1.229284244769686e-10
-173.53515625,-2.3030904399931197e-08,-1.1649846574262414e-10
-173.4375,-2.2614281869472584e-08,-1.045784659140618e-10
-173.33984375,-2.107879124082482e-08,-8.784758254273251e-11
-173.2421875,-1.847805621422819e-08,-6.720384994832777e-11
-173.14453125,-1.4919080343568632e-08,-4.371658968098134e-11
-173.046875,-1.0558002045462235e-08,-1.857176249205229e-11
-172.94921875,-5.5933853806560816e-09,6.987540597311221e-12
-172.8515625,-2.573071316523796e-10,3.172193677181636e-11
-172.75390625,5.195370838787886e-09,5.4455535750623896e-11
-172.65625,1.04990850344796e-08,7.413123562546776e-11
-172.55859375,1.5390444702640677e-08,8.985952740334777e-11
-172.4609375,1.96211790505549e-08,1.0095800404557368e-10
-172.36328125,2.297060470024587e-08,1.0698042630559469e-10
-172.265625,2.5257060045690216e-08,1.0773356494685619e-10
-172.16796875,2.6347503047830553e-08,1.0328182236818881e-10
-172.0703125,2.6165091629118715e-08,9.393906210389742e-11
-171.97265625,2.4693963710564138e-08,8.024886792631191e-11
-171.875,2.198130649905178e-08,6.295381962527094e-11
-171.77734375,1.8136152182640526e-08,4.295606194128359e-11
-171.6796875,1.3325303887115596e-08,2.127064494162235e-11
-171.58203125,7.76621787009267e-09,-1.0253889418977876e-12
-171.484375,1.7174130966188293e-09,-2.284622753032987e-11
